complaint,category
admission office not responding reported multiple times already,Administration
certificate request processing slow and it is affecting students,Administration
delay in issuing official documents reported multiple times already,Administration
ID card printing delay reported multiple times already,Administration
scholarship processing delay,Administration
fee payment portal malfunctioning since last week,Administration
certificate request processing slow which needs urgent attention,Administration
scholarship processing delay causing inconvenience to students,Administration
long queues in administration office which needs urgent attention,Administration
admission office not responding which needs urgent attention,Administration
scholarship processing delay reported multiple times already,Administration
administrative staff unresponsive since last week,Administration
admission office not responding which needs urgent attention,Administration
administrative staff unresponsive since last week,Administration
scholarship processing delay,Administration
administrative office not responding which needs urgent attention,Administration
long queues in administration office causing inconvenience to students,Administration
administrative staff unresponsive causing inconvenience to students,Administration
ID card printing delay,Administration
administrative office not responding and it is affecting students,Administration
ID card printing delay since last week,Administration
incorrect student information on portal reported multiple times already,Administration
administrative staff unresponsive since last week,Administration
ID card printing delay reported multiple times already,Administration
ID card printing delay,Administration
fee payment portal malfunctioning which needs urgent attention,Administration
incorrect student information on portal which needs urgent attention,Administration
administrative office not responding since last week,Administration
fee payment portal malfunctioning since last week,Administration
certificate request processing slow which needs urgent attention,Administration
ID card printing delay reported multiple times already,Administration
certificate request processing slow since last week,Administration
fee payment portal malfunctioning which needs urgent attention,Administration
administrative staff unresponsive since last week,Administration
certificate request processing slow and it is affecting students,Administration
fee payment portal malfunctioning reported multiple times already,Administration
scholarship processing delay which needs urgent attention,Administration
admission office not responding causing inconvenience to students,Administration
long queues in administration office reported multiple times already,Administration
CCTV cameras not functioning,Security
unauthorized entry in campus causing inconvenience to students,Security
security guard absent at gate and it is affecting students,Security
security alarm not working since last week,Security
security response delayed since last week,Security
security response delayed since last week,Security
unauthorized entry in campus causing inconvenience to students,Security
hostel security checks insufficient causing inconvenience to students,Security
campus entry checks inconsistent,Security
campus entry checks inconsistent which needs urgent attention,Security
unauthorized entry in campus reported multiple times already,Security
unauthorized entry in campus causing inconvenience to students,Security
unauthorized entry in campus reported multiple times already,Security
hostel security checks insufficient since last week,Security
security alarm not working and it is affecting students,Security
security gate malfunctioning reported multiple times already,Security
unauthorized entry in campus since last week,Security
security response delayed reported multiple times already,Security
security gate malfunctioning which needs urgent attention,Security
campus entry checks inconsistent reported multiple times already,Security
campus entry checks inconsistent,Security
parking area security concerns causing inconvenience to students,Security
insufficient night patrol,Security
security alarm not working since last week,Security
security gate malfunctioning,Security
unauthorized entry in campus since last week,Security
security gate malfunctioning since last week,Security
parking area security concerns since last week,Security
parking area security concerns and it is affecting students,Security
CCTV cameras not functioning which needs urgent attention,Security
CCTV cameras not functioning causing inconvenience to students,Security
security response delayed causing inconvenience to students,Security
CCTV cameras not functioning which needs urgent attention,Security
CCTV cameras not functioning which needs urgent attention,Security
campus entry checks inconsistent causing inconvenience to students,Security
security guard absent at gate causing inconvenience to students,Security
campus entry checks inconsistent,Security
security guard absent at gate and it is affecting students,Security
parking area security concerns reported multiple times already,Security
CCTV cameras not functioning causing inconvenience to students,Security
unauthorized entry in campus which needs urgent attention,Security
security guard absent at gate,Security
campus entry checks inconsistent which needs urgent attention,Security
hostel security checks insufficient,Security
unauthorized entry in campus since last week,Security
campus entry checks inconsistent and it is affecting students,Security
security guard absent at gate since last week,Security
security response delayed which needs urgent attention,Security
security guard absent at gate and it is affecting students,Security
insufficient night patrol reported multiple times already,Security
CCTV cameras not functioning causing inconvenience to students,Security
CCTV cameras not functioning which needs urgent attention,Security
campus entry checks inconsistent which needs urgent attention,Security
security gate malfunctioning,Security
hostel security checks insufficient reported multiple times already,Security
insufficient night patrol causing inconvenience to students,Security
security guard absent at gate causing inconvenience to students,Security
CCTV cameras not functioning causing inconvenience to students,Security
security guard absent at gate since last week,Security
security response delayed causing inconvenience to students,Security
security gate malfunctioning which needs urgent attention,Security
hostel security checks insufficient,Security
security guard absent at gate,Security
unauthorized entry in campus causing inconvenience to students,Security
unauthorized entry in campus causing inconvenience to students,Security
parking area security concerns,Security
parking area security concerns which needs urgent attention,Security
insufficient night patrol and it is affecting students,Security
parking area security concerns reported multiple times already,Security
unauthorized entry in campus causing inconvenience to students,Security
power backup system failing,Electrical
electrical sockets damaged in lab which needs urgent attention,Electrical
emergency lights not functioning since last week,Electrical
generator not starting during outage which needs urgent attention,Electrical
power backup system failing,Electrical
unstable power supply affecting computers since last week,Electrical
electrical maintenance delayed and it is affecting students,Electrical
power backup system failing causing inconvenience to students,Electrical
fuse box damaged in building and it is affecting students,Electrical
electrical maintenance delayed,Electrical
unstable power supply affecting computers reported multiple times already,Electrical
short circuit issue in corridor causing inconvenience to students,Electrical
frequent power outages in hostel which needs urgent attention,Electrical
power backup system failing since last week,Electrical
unstable power supply affecting computers and it is affecting students,Electrical
electrical maintenance delayed since last week,Electrical
electrical sockets damaged in lab and it is affecting students,Electrical
power backup system failing,Electrical
short circuit issue in corridor and it is affecting students,Electrical
frequent power outages in hostel since last week,Electrical
emergency lights not functioning,Electrical
generator not starting during outage which needs urgent attention,Electrical
unstable power supply affecting computers causing inconvenience to students,Electrical
unstable power supply affecting computers since last week,Electrical
fuse box damaged in building since last week,Electrical
power backup system failing reported multiple times already,Electrical
short circuit issue in corridor reported multiple times already,Electrical
generator not starting during outage,Electrical
emergency lights not functioning and it is affecting students,Electrical
fuse box damaged in building reported multiple times already,Electrical
classroom lights not working reported multiple times already,Electrical
unstable power supply affecting computers causing inconvenience to students,Electrical
frequent power outages in hostel and it is affecting students,Electrical
electrical maintenance delayed causing inconvenience to students,Electrical
emergency lights not functioning and it is affecting students,Electrical
power backup system failing and it is affecting students,Electrical
fuse box damaged in building causing inconvenience to students,Electrical
frequent power outages in hostel causing inconvenience to students,Electrical
electrical sockets damaged in lab causing inconvenience to students,Electrical
power backup system failing,Electrical
electrical maintenance delayed,Electrical
electrical sockets damaged in lab causing inconvenience to students,Electrical
frequent power outages in hostel which needs urgent attention,Electrical
generator not starting during outage causing inconvenience to students,Electrical
generator not starting during outage since last week,Electrical
emergency lights not functioning causing inconvenience to students,Electrical
short circuit issue in corridor since last week,Electrical
generator not starting during outage reported multiple times already,Electrical
classroom lights not working reported multiple times already,Electrical
generator not starting during outage which needs urgent attention,Electrical
unstable power supply affecting computers,Electrical
electrical sockets damaged in lab which needs urgent attention,Electrical
short circuit issue in corridor which needs urgent attention,Electrical
power backup system failing reported multiple times already,Electrical
electrical maintenance delayed reported multiple times already,Electrical
electrical maintenance delayed causing inconvenience to students,Electrical
fuse box damaged in building causing inconvenience to students,Electrical
electrical maintenance delayed and it is affecting students,Electrical
unstable power supply affecting computers reported multiple times already,Electrical
unstable power supply affecting computers which needs urgent attention,Electrical
emergency lights not functioning,Electrical
emergency lights not functioning causing inconvenience to students,Electrical
short circuit issue in corridor,Electrical
classroom lights not working since last week,Electrical
unstable power supply affecting computers,Electrical
unstable power supply affecting computers and it is affecting students,Electrical
emergency lights not functioning causing inconvenience to students,Electrical
fuse box damaged in building which needs urgent attention,Electrical
unstable power supply affecting computers,Electrical
unstable power supply affecting computers reported multiple times already,Electrical
